,start,end,val,accn,fy,fp,form,filed,frame,category,cik
900,2020-01-01,2020-12-31,-1527000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,FairValueAdjustmentOfWarrants,0001018724
901,2021-01-01,2021-12-31,-1315000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,FairValueAdjustmentOfWarrants,0001018724
904,2019-01-01,2019-12-31,695000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,FinanceLeaseInterestExpense,0001018724
906,2020-01-01,2020-12-31,617000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,FinanceLeaseInterestExpense,0001018724
907,2021-01-01,2021-12-31,473000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,FinanceLeaseInterestExpense,0001018724
911,2019-01-01,2019-12-31,647000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,FinanceLeaseInterestPaymentOnLiability,0001018724
913,2020-01-01,2020-12-31,612000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,FinanceLeaseInterestPaymentOnLiability,0001018724
914,2021-01-01,2021-12-31,521000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,FinanceLeaseInterestPaymentOnLiability,0001018724
920,2019-01-01,2019-12-31,9628000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,FinanceLeasePrincipalPayments,0001018724
922,2020-01-01,2020-12-31,10642000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,FinanceLeasePrincipalPayments,0001018724
923,2021-01-01,2021-12-31,11163000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,FinanceLeasePrincipalPayments,0001018724
926,2019-01-01,2019-12-31,10094000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,FinanceLeaseRightOfUseAssetAmortization,0001018724
928,2020-01-01,2020-12-31,8452000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,FinanceLeaseRightOfUseAssetAmortization,0001018724
929,2021-01-01,2021-12-31,9857000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,FinanceLeaseRightOfUseAssetAmortization,0001018724
964,2019-01-01,2019-12-31,-20000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,ForeignCurrencyTransactionGainLossBeforeTax,0001018724
966,2020-01-01,2020-12-31,35000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,ForeignCurrencyTransactionGainLossBeforeTax,0001018724
967,2021-01-01,2021-12-31,-55000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,ForeignCurrencyTransactionGainLossBeforeTax,0001018724
1053,2019-01-01,2019-12-31,5203000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,GeneralAndAdministrativeExpense,0001018724
1055,2020-01-01,2020-12-31,6668000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,GeneralAndAdministrativeExpense,0001018724
1056,2021-01-01,2021-12-31,8823000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,GeneralAndAdministrativeExpense,0001018724
1079,2020-01-01,2020-12-31,212000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,GoodwillAcquiredDuringPeriod,0001018724
1080,2021-01-01,2021-12-31,366000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,GoodwillAcquiredDuringPeriod,0001018724
1103,2020-01-01,2020-12-31,51000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,GoodwillTranslationAndPurchaseAccountingAdjustments,0001018724
1104,2021-01-01,2021-12-31,-12000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,GoodwillTranslationAndPurchaseAccountingAdjustments,0001018724
1140,2019-01-01,2019-12-31,13285000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0001018724
1142,2020-01-01,2020-12-31,20219000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0001018724
1143,2021-01-01,2021-12-31,35879000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0001018724
1176,2019-01-01,2019-12-31,691000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,0001018724
1178,2020-01-01,2020-12-31,3959000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,0001018724
1179,2021-01-01,2021-12-31,2272000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,0001018724
1215,2019-01-01,2019-12-31,13976000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724
1217,2020-01-01,2020-12-31,24178000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724
1218,2021-01-01,2021-12-31,38151000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724
1254,2019-01-01,2019-12-31,-14000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeLossFromEquityMethodInvestments,0001018724
1256,2020-01-01,2020-12-31,16000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeLossFromEquityMethodInvestments,0001018724
1257,2021-01-01,2021-12-31,4000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeLossFromEquityMethodInvestments,0001018724
1294,2019-01-01,2019-12-31,2374000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeTaxExpenseBenefit,0001018724
1296,2020-01-01,2020-12-31,2863000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeTaxExpenseBenefit,0001018724
1297,2021-01-01,2021-12-31,4791000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeTaxExpenseBenefit,0001018724
1336,2019-01-01,2019-12-31,881000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeTaxesPaidNet,0001018724
1338,2020-01-01,2020-12-31,1713000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeTaxesPaidNet,0001018724
1339,2021-01-01,2021-12-31,3688000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeTaxesPaidNet,0001018724
1375,2019-01-01,2019-12-31,453000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,0001018724
1377,2020-01-01,2020-12-31,-538000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,0001018724
1378,2021-01-01,2021-12-31,-1349000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,0001018724
1399,2019-01-01,2019-12-31,2935000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,0001018724
1401,2020-01-01,2020-12-31,5078000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,0001018724
1402,2021-01-01,2021-12-31,8012000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,0001018724
1423,2019-01-01,2019-12-31,-850000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,0001018724
1425,2020-01-01,2020-12-31,-1107000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,0001018724
1426,2021-01-01,2021-12-31,-1094000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,0001018724
1447,2019-01-01,2019-12-31,153000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeTaxReconciliationOtherAdjustments,0001018724
1449,2020-01-01,2020-12-31,98000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeTaxReconciliationOtherAdjustments,0001018724
1450,2021-01-01,2021-12-31,194000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeTaxReconciliationOtherAdjustments,0001018724
1471,2019-01-01,2019-12-31,221000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeTaxReconciliationStateAndLocalIncomeTaxes,0001018724
1473,2020-01-01,2020-12-31,343000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeTaxReconciliationStateAndLocalIncomeTaxes,0001018724
1474,2021-01-01,2021-12-31,465000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeTaxReconciliationStateAndLocalIncomeTaxes,0001018724
1495,2019-01-01,2019-12-31,466000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncomeTaxReconciliationTaxCredits,0001018724
1497,2020-01-01,2020-12-31,639000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncomeTaxReconciliationTaxCredits,0001018724
1498,2021-01-01,2021-12-31,1136000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncomeTaxReconciliationTaxCredits,0001018724
1534,2019-01-01,2019-12-31,8193000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncreaseDecreaseInAccountsPayable,0001018724
1536,2020-01-01,2020-12-31,17480000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncreaseDecreaseInAccountsPayable,0001018724
1537,2021-01-01,2021-12-31,3602000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncreaseDecreaseInAccountsPayable,0001018724
1573,2019-01-01,2019-12-31,7681000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,0001018724
1575,2020-01-01,2020-12-31,8169000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,0001018724
1576,2021-01-01,2021-12-31,18163000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,0001018724
1612,2019-01-01,2019-12-31,-1383000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,0001018724
1614,2020-01-01,2020-12-31,5754000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,0001018724
1615,2021-01-01,2021-12-31,2123000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,0001018724
1624,2019-01-01,2019-12-31,1711000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncreaseDecreaseInContractWithCustomerLiability,0001018724
1626,2020-01-01,2020-12-31,1265000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncreaseDecreaseInContractWithCustomerLiability,0001018724
1627,2021-01-01,2021-12-31,2314000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncreaseDecreaseInContractWithCustomerLiability,0001018724
1678,2019-01-01,2019-12-31,3278000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,IncreaseDecreaseInInventories,0001018724
1680,2020-01-01,2020-12-31,2849000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,IncreaseDecreaseInInventories,0001018724
1681,2021-01-01,2021-12-31,9487000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,IncreaseDecreaseInInventories,0001018724
1717,2019-01-01,2019-12-31,1600000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,InterestExpense,0001018724
1719,2020-01-01,2020-12-31,1647000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,InterestExpense,0001018724
1720,2021-01-01,2021-12-31,1809000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,InterestExpense,0001018724
1780,2019-01-01,2019-12-31,832000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,InvestmentIncomeInterest,0001018724
1782,2020-01-01,2020-12-31,555000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,InvestmentIncomeInterest,0001018724
1783,2021-01-01,2021-12-31,448000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,InvestmentIncomeInterest,0001018724
1815,2019-01-01,2019-12-31,15424000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,LeaseCost,0001018724
1817,2020-01-01,2020-12-31,15326000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,LeaseCost,0001018724
1818,2021-01-01,2021-12-31,19085000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,LeaseCost,0001018724
1840,2019-01-01,2019-12-31,7000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,MarketableSecuritiesUnrealizedGainLoss,0001018724
1841,2020-01-01,2020-12-31,525000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,MarketableSecuritiesUnrealizedGainLoss,0001018724
1842,2021-01-01,2021-12-31,11526000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,MarketableSecuritiesUnrealizedGainLoss,0001018724
1899,2019-01-01,2019-12-31,18878000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,MarketingExpense,0001018724
1901,2020-01-01,2020-12-31,22008000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,MarketingExpense,0001018724
1902,2021-01-01,2021-12-31,32551000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,MarketingExpense,0001018724
1938,2019-01-01,2019-12-31,-10066000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,NetCashProvidedByUsedInFinancingActivities,0001018724
1940,2020-01-01,2020-12-31,-1104000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,NetCashProvidedByUsedInFinancingActivities,0001018724
1941,2021-01-01,2021-12-31,6291000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,NetCashProvidedByUsedInFinancingActivities,0001018724
1977,2019-01-01,2019-12-31,-24281000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,NetCashProvidedByUsedInInvestingActivities,0001018724
1979,2020-01-01,2020-12-31,-59611000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,NetCashProvidedByUsedInInvestingActivities,0001018724
1980,2021-01-01,2021-12-31,-58154000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,NetCashProvidedByUsedInInvestingActivities,0001018724
2016,2019-01-01,2019-12-31,38514000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,NetCashProvidedByUsedInOperatingActivities,0001018724
2018,2020-01-01,2020-12-31,66064000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,NetCashProvidedByUsedInOperatingActivities,0001018724
2019,2021-01-01,2021-12-31,46327000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,NetCashProvidedByUsedInOperatingActivities,0001018724
2055,2019-01-01,2019-12-31,11588000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,NetIncomeLoss,0001018724
2057,2020-01-01,2020-12-31,21331000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,NetIncomeLoss,0001018724
2058,2021-01-01,2021-12-31,33364000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,NetIncomeLoss,0001018724
2095,2019-01-01,2019-12-31,-565000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,NonoperatingIncomeExpense,0001018724
2097,2020-01-01,2020-12-31,1279000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,NonoperatingIncomeExpense,0001018724
2098,2021-01-01,2021-12-31,13272000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,NonoperatingIncomeExpense,0001018724
2137,2019-01-01,2019-12-31,14541000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,OperatingIncomeLoss,0001018724
2139,2020-01-01,2020-12-31,22899000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,OperatingIncomeLoss,0001018724
2140,2021-01-01,2021-12-31,24879000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,OperatingIncomeLoss,0001018724
2143,2019-01-01,2019-12-31,3669000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,OperatingLeaseCost,0001018724
2145,2020-01-01,2020-12-31,5019000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2020,OperatingLeaseCost,0001018724
2146,2021-01-01,2021-12-31,7199000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2021,OperatingLeaseCost,0001018724
2152,2019-01-01,2019-12-31,3361000000,0001018724-22-000005,2021,FY,10-K,2022-02-04,CY2019,OperatingLeasePayments,0001018724
